Load,Load
1.0,0.025
1.0,0.025
0.9,0.038
0.8,0.039
0.7,0.05
0.6,0.088
0.5,0.14
0.4,0.2
0.3,0.27
0.2,0.33
0.15,0.35500000000000004
0.1,0.38
0.09,0.384
0.08,0.388
0.07,0.392
0.06,0.396
0.05,0.4
0.04,0.40222222222222226
0.03,0.40444444444444444
0.02,0.4066666666666667
0.01,0.40888888888888886
0.009,0.4091111111111111
0.008,0.4093333333333333
0.007,0.4095555555555555
0.006,0.40977777777777774
0.005,0.41
0.004,0.4102222222222222
0.003,0.41044444444444445
0.002,0.4106666666666667
0.001,0.4108888888888889
